Month,Year,daytype,All Bus,Blue Line,Bus,Commuter Rail,Ferry,Green Line,Heavy Rail,Light Rail,Mattapan Line,Orange Line,Private Bus,Red Line,Silver Line,The RIDE,Trackless Trolley
January,2022,Total,167108.0,25722.0,147414.0,27380.0,556.0,63070.0,159089.0,63070.0,,64068.0,1214.0,69299.0,15587.0,2018.0,2892.0
January,2022,Weekday,209654.0,30863.0,187771.0,36497.0,830.0,74346.0,195055.0,74346.0,,78696.0,1580.0,85496.0,18479.0,2693.0,4016.0
January,2023,Saturday,187439.0,31398.0,164734.0,24870.0,,92478.0,158768.0,93741.0,1263.0,54598.0,1529.0,72773.0,21175.0,1710.0,
January,2023,Sunday,106568.0,22598.0,91055.0,16664.0,,61268.0,110760.0,62094.0,827.0,37222.0,849.0,50940.0,14663.0,1296.0,
January,2023,Total,217905.0,36004.0,194401.0,59371.0,1863.0,97412.0,216955.0,99952.0,2539.0,79876.0,1711.0,101075.0,21793.0,2700.0,
January,2023,Weekday,269569.0,41314.0,242172.0,82041.0,2697.0,110320.0,263492.0,113649.0,3329.0,98558.0,2134.0,123620.0,25263.0,3519.0,
January,2024,Saturday,194883.0,28627.0,172874.0,26026.0,182.0,22002.0,157523.0,21258.0,1393.0,67310.0,,62355.0,22009.0,1913.0,
January,2024,Sunday,122314.0,20349.0,104586.0,25478.0,106.0,16851.0,105522.0,15994.0,846.0,42668.0,,43365.0,17728.0,1663.0,
January,2024,Total,230013.0,36693.0,206910.0,76012.0,2307.0,34603.0,218162.0,36909.0,2306.0,90481.0,,90988.0,23103.0,2899.0,
January,2024,Weekday,279124.0,42495.0,252589.0,97626.0,3312.0,40365.0,257037.0,39210.0,2868.0,107904.0,,109880.0,26535.0,3735.0,
July,2018,Saturday,206790.0,50472.0,179814.0,15934.0,,121036.0,282096.0,121036.0,,103884.0,,127740.0,22586.0,3114.0,4390.0
July,2018,Sunday,161772.0,36131.0,139142.0,9624.0,,88678.0,204315.0,88678.0,,74536.0,,93648.0,22630.0,2725.0,
July,2018,Total,306524.0,60371.0,263609.0,83352.0,6248.0,156607.0,429307.0,156607.0,,162244.0,2587.0,206693.0,32025.0,5085.0,8303.0
July,2018,Weekday,373928.0,69143.0,321758.0,121199.0,7331.0,182921.0,521270.0,182921.0,,198348.0,3165.0,253779.0,37585.0,5983.0,11420.0
July,2019,Saturday,193980.0,48555.0,167378.0,18563.0,,108322.0,270114.0,108322.0,,102285.0,,119274.0,21781.0,3100.0,4821.0
July,2019,Sunday,138088.0,39849.0,118160.0,12619.0,,90358.0,221284.0,90358.0,,81410.0,,100025.0,19928.0,2537.0,
July,2019,Total,314975.0,64096.0,271511.0,86125.0,4854.0,156338.0,448255.0,156338.0,,172591.0,2774.0,211567.0,33051.0,6470.0,7639.0
July,2019,Weekday,379081.0,72500.0,327481.0,119325.0,5500.0,180251.0,532176.0,180251.0,,206023.0,3352.0,253654.0,37509.0,5613.0,10739.0
July,2020,Saturday,174993.0,17016.0,158912.0,3571.0,,20566.0,79723.0,20566.0,,30923.0,,31784.0,16081.0,1626.0,
July,2020,Sunday,104988.0,12907.0,93122.0,2107.0,,14811.0,59016.0,14811.0,,22272.0,,23838.0,11866.0,1163.0,
July,2020,Total,140073.0,19411.0,126230.0,8836.0,485.0,24456.0,98972.0,24456.0,,38284.0,1157.0,41278.0,12685.0,1951.0,
July,2020,Weekday,147472.0,21111.0,133214.0,10830.0,654.0,27055.0,110094.0,27055.0,,42632.0,1322.0,46351.0,12936.0,1896.0,
July,2021,Saturday,136047.0,28501.0,117855.0,14217.0,,64374.0,161033.0,64374.0,,60590.0,908.0,71943.0,14975.0,,2308.0
July,2021,Sunday,114260.0,20698.0,97464.0,12616.0,,44955.0,114282.0,44955.0,,41894.0,689.0,51690.0,16107.0,,
July,2021,Total,181327.0,31862.0,158243.0,24888.0,2194.0,71890.0,190774.0,71890.0,,72042.0,1274.0,86871.0,18591.0,2165.0,3219.0
July,2021,Weekday,203812.0,33555.0,178473.0,29545.0,2409.0,76233.0,205762.0,76233.0,,77950.0,1464.0,94257.0,19864.0,2550.0,4012.0
